iter	RMSE
0	3886.883661
1	3741.755624
2	3603.012768
3	3469.798191
4	3342.361273
5	3219.542605
6	3101.025635
7	2988.215744
8	2880.851909
9	2776.685785
10	2676.86242
11	2584.025874
12	2492.928057
13	2404.474353
14	2320.01921
15	2238.56793
16	2161.194462
17	2086.296414
18	2014.71376
19	1946.35812
20	1881.188011
21	1818.864901
22	1759.848171
23	1702.866579
24	1648.883931
25	1596.219872
26	1547.150286
27	1499.653226
28	1453.225048
29	1410.03313
30	1368.569717
31	1328.897285
32	1291.99046
33	1255.405804
34	1220.300848
35	1187.763881
36	1157.231027
37	1127.279702
38	1098.952912
39	1072.364939
40	1047.037685
41	1022.558258
42	999.2411439
43	976.9960851
44	955.7551804
45	935.2991096
46	915.9010965
47	898.166576
48	881.9723931
49	866.2135631
50	851.0543287
51	836.8175444
52	823.2048598
53	810.6078463
54	798.090847
55	786.4752216
56	775.4924813
57	765.256809
58	755.4480825
59	746.6921126
60	737.5513058
61	729.1026289
62	721.5675104
63	713.991803
64	707.063637
65	700.2982596
66	693.9004766
67	687.9835711
68	682.3868596
69	677.1181802
70	672.2163428
71	667.6428504
72	662.9900799
73	658.8219347
74	654.8659124
75	651.2136153
76	647.8096182
77	644.4554213
78	641.3268875
79	638.3124156
80	635.441026
81	632.8102983
82	630.2900389
83	627.933389
84	625.6668988
85	623.4709294
86	621.39636
87	619.4071924
88	617.4780885
89	615.7797631
90	614.1276801
91	612.5375092
92	611.0465189
93	609.5027738
94	608.0541419
95	606.8744708
96	605.5927774
97	604.4841962
98	603.3264274
99	602.341021
100	601.3694293
101	600.4022872
102	599.4281979
103	598.5606632
104	597.6737184
105	596.8868869
106	596.1750139
107	595.4607499
108	594.8429441
109	594.0877279
110	593.3549016
111	592.6638361
112	592.1402856
113	591.5023413
114	590.9265728
115	590.4291952
116	589.9132573
117	589.3535951
118	588.913402
119	588.425809
120	587.9316099
121	587.4289262
122	586.9868811
123	586.5952663
124	586.1927689
125	585.8637073
126	585.5218982
127	585.1584248
128	584.79701
129	584.4647893
130	584.1101054
131	583.7418542
132	583.4885491
133	583.24627
134	582.8599229
135	582.5469397
136	582.2963651
137	582.0729625
138	581.8353284
139	581.6264235
140	581.3615765
141	581.1345738
142	580.8491705
143	580.6499921
144	580.4697934
145	580.2120253
146	579.9133009
147	579.7238623
148	579.4910749
149	579.3286732
150	579.1067352
151	578.8716552
152	578.6108599
153	578.4095923
154	578.2650871
155	578.0749827
156	577.9123627
157	577.7379798
158	577.6061671
159	577.4050357
160	577.2030061
161	577.0505042
162	576.8646782
163	576.7158449
164	576.5419288
165	576.3404516
166	576.2420016
167	576.1152658
168	576.0168503
169	575.9075849
170	575.7937478
171	575.7000688
172	575.5259366
173	575.3463765
174	575.2091715
175	575.076407
176	574.9394135
177	574.8101995
178	574.6785004
179	574.5748444
180	574.4859937
181	574.2998417
182	574.1592839
183	574.0030361
184	573.8675517
185	573.7435352
186	573.6072694
187	573.529413
188	573.4423075
189	573.3465315
190	573.2535551
191	573.1355676
192	572.9871306
193	572.9053056
194	572.7426448
195	572.6462837
196	572.5723775
197	572.4753514
198	572.3944985
199	572.3387111
200	572.2344606
201	572.1157515
202	572.0283728
203	571.9154459
204	571.8354021
205	571.7412867
206	571.6745618
207	571.5374611
208	571.4121822
209	571.3297685
210	571.1972451
211	571.0885333
212	571.0036812
213	570.9074828
214	570.7641485
215	570.6732127
216	570.5491376
217	570.4711619
218	570.4043293
219	570.3150129
220	570.1883644
221	570.1139859
222	570.0009216
223	569.8934777
224	569.8089098
225	569.7379839
226	569.6495017
227	569.5767027
228	569.4767857
229	569.3765531
230	569.2751622
231	569.2065156
232	569.1356956
233	569.0737271
234	569.0275828
235	568.9837429
236	568.8427377
237	568.7780353
238	568.6980194
239	568.6054903
240	568.5489267
241	568.4738982
242	568.39021
243	568.2986055
244	568.2594492
245	568.1395022
246	568.0648273
247	567.9950586
248	567.9274001
249	567.8328255
250	567.7643083
251	567.6703448
252	567.6245463
253	567.5401917
254	567.4683577
255	567.405211
256	567.2998916
257	567.249093
258	567.1463035
259	567.0377843
260	566.9312611
261	566.8418444
262	566.7893508
263	566.7533093
264	566.714445
265	566.6015924
266	566.5515316
267	566.4642273
268	566.3924686
269	566.3283653
270	566.2688984
271	566.191134
272	566.1275224
273	566.0590746
274	565.9983365
275	565.9696253
276	565.8806002
277	565.8318773
278	565.760245
279	565.6474688
280	565.5812373
281	565.5441761
282	565.4677872
283	565.433762
284	565.3845988
285	565.3051342
286	565.1987227
287	565.1236683
288	565.0498653
289	564.9458673
290	564.8533858
291	564.792391
292	564.7484543
293	564.6515023
294	564.5639602
295	564.5273578
296	564.4568628
297	564.4172157
298	564.305085
299	564.2647335
300	564.2244749
301	564.1541899
302	564.0704886
303	564.0155897
304	563.9558095
305	563.8950761
306	563.8609839
307	563.7911239
308	563.7303606
309	563.6767258
310	563.6173748
311	563.5347248
312	563.4404332
313	563.3995799
314	563.3341824
315	563.2696285
316	563.1449867
317	563.098554
318	563.0353624
319	562.9738023
320	562.9003187
321	562.8745214
322	562.7948647
323	562.6665716
324	562.5926904
325	562.5285717
326	562.4892719
327	562.4588829
328	562.4025413
329	562.3487829
330	562.3067575
331	562.2446511
332	562.211933
333	562.1526825
334	562.0944141
335	562.012149
336	561.9183791
337	561.8852434
338	561.8376179
339	561.8100446
340	561.7595027
341	561.7097097
342	561.6718391
343	561.6302348
344	561.6012935
345	561.5230016
346	561.4704208
347	561.3846997
348	561.3137512
349	561.2611358
350	561.1482601
351	561.0740264
352	561.0216308
353	560.9163575
354	560.8521357
355	560.8221683
356	560.7618279
357	560.7449643
358	560.7266055
359	560.6609583
360	560.5814487
361	560.5177562
362	560.4136748
363	560.3842017
364	560.3673775
365	560.2906649
366	560.2320377
367	560.1904315
368	560.1491239
369	560.0765492
370	560.0053758
371	559.947702
372	559.8854566
373	559.8411363
374	559.8182868
375	559.7686464
376	559.7299616
377	559.6865771
378	559.628419
379	559.6156362
380	559.5128779
381	559.4163036
382	559.3358755
383	559.2921115
384	559.1933291
385	559.1190441
386	559.0416737
387	558.9990701
388	558.9768757
389	558.9438924
390	558.8892252
391	558.879292
392	558.8555911
393	558.7806761
394	558.7225939
395	558.7068792
396	558.6438374
397	558.6334378
398	558.5792858
399	558.4973981
400	558.4393186
401	558.3856126
402	558.3038879
403	558.2329385
404	558.1664822
405	558.1257189
406	558.0719907
407	558.0247601
408	558.0138736
409	557.9615536
410	557.8931833
411	557.8496234
412	557.7969924
413	557.7254842
414	557.6678664
415	557.6200003
416	557.6104718
417	557.5660655
418	557.557377
419	557.5081298
420	557.459276
421	557.413381
422	557.354395
423	557.2919013
424	557.1988841
425	557.1274472
426	557.0798407
427	557.0416616
428	556.9539653
429	556.8925195
430	556.8506462
431	556.784842
432	556.7261089
433	556.674556
434	556.6040659
435	556.5311832
436	556.469417
437	556.4222652
438	556.3721594
439	556.3640494
440	556.3497737
441	556.297595
442	556.2026649
443	556.1824891
444	556.1460199
445	556.0936912
446	556.0333547
447	556.0198376
448	555.9557189
449	555.9182408
450	555.810693
451	555.7682662
452	555.7422901
453	555.7034467
454	555.6307654
455	555.5710609
456	555.5444288
457	555.5113447
458	555.4820202
459	555.4109828
460	555.4028846
461	555.3321574
462	555.2778971
463	555.2279313
464	555.1805712
465	555.0859164
466	555.0293677
467	554.9974237
468	554.9819731
469	554.9498741
470	554.8939868
471	554.8870397
472	554.8433397
473	554.8148192
474	554.6728002
475	554.6636628
476	554.6117376
477	554.6045473
478	554.5637844
479	554.5284753
480	554.4854228
481	554.4453064
482	554.3794017
483	554.3475282
484	554.3344773
485	554.2998917
486	554.2361495
487	554.2150311
488	554.1725764
489	554.1278002
490	554.0994735
491	554.0510406
492	553.9129197
493	553.8637189
494	553.8510586
495	553.8010142
496	553.792918
497	553.7491141
498	553.713509
499	553.6298853
500	553.6150196
501	553.5655226
502	553.4798086
503	553.3820747
504	553.3531196
505	553.3009856
506	553.2525649
507	553.2456022
508	553.1600578
509	553.1036758
510	553.0897348
511	553.0563403
512	553.0141461
513	553.008061
514	552.9354688
515	552.8364178
516	552.7687286
517	552.737472
518	552.6993021
519	552.6608624
520	552.6374798
521	552.5343011
522	552.528163
523	552.4698202
524	552.411748
525	552.3705077
526	552.342086
527	552.2931026
528	552.2489495
529	552.1740918
530	552.114664
531	552.0639587
532	551.9855258
533	551.9674052
534	551.9457579
535	551.9067474
536	551.8761357
537	551.8431922
538	551.7663774
539	551.7415311
540	551.624781
541	551.5562862
542	551.508108
543	551.4637763
544	551.4292431
545	551.3931399
546	551.3476114
547	551.3225904
548	551.2989148
549	551.2445811
550	551.2109798
551	551.1414633
552	551.1048673
553	551.0797721
554	551.041876
555	551.0198066
556	550.9846048
557	550.9166
558	550.8328845
559	550.8074559
560	550.7892584
561	550.76861
562	550.7286182
563	550.6910107
564	550.6175722
565	550.5562474
566	550.4899794
567	550.4618841
568	550.3780866
569	550.3500584
570	550.2710061
571	550.2558558
572	550.2352278
573	550.117288
574	550.0819417
575	550.0495626
576	550.0259401
577	549.9949234
578	549.9302526
579	549.8915202
580	549.8330361
581	549.7686098
582	549.6941998
583	549.6756239
584	549.6693103
585	549.6531472
586	549.571636
587	549.5288828
588	549.5162412
589	549.3996574
590	549.33729
591	549.2972243
592	549.2747169
593	549.2154834
594	549.199735
595	549.1454982
596	549.1174219
597	549.0483408
598	549.0074262
599	548.9574555
