iter	Passed	Remaining
0	14	8680
1	27	8302
2	40	8013
3	53	7976
4	66	7907
5	80	7933
6	94	7981
7	108	8014
8	121	7978
9	135	8004
10	150	8064
11	165	8111
12	180	8151
13	195	8167
14	210	8195
15	225	8212
16	239	8214
17	253	8211
18	268	8219
19	283	8220
20	298	8221
21	312	8217
22	328	8231
23	346	8320
24	362	8330
25	377	8328
26	392	8329
27	407	8317
28	421	8308
29	436	8297
30	451	8283
31	466	8274
32	480	8264
33	495	8254
34	509	8223
35	523	8195
36	537	8177
37	551	8156
38	566	8151
39	582	8150
40	598	8164
41	614	8170
42	631	8181
43	647	8184
44	664	8191
45	681	8205
46	697	8209
47	714	8216
48	731	8221
49	747	8222
50	762	8212
51	779	8213
52	795	8206
53	810	8193
54	825	8177
55	839	8154
56	854	8144
57	869	8129
58	884	8110
59	898	8090
60	913	8069
61	927	8048
62	943	8040
63	959	8034
64	975	8025
65	992	8030
66	1009	8032
67	1027	8038
68	1044	8039
69	1061	8034
70	1076	8019
71	1091	8006
72	1106	7987
73	1120	7967
74	1135	7948
75	1149	7926
76	1164	7906
77	1179	7892
78	1192	7866
79	1205	7836
80	1217	7800
81	1230	7772
82	1244	7752
83	1258	7731
84	1272	7708
85	1285	7683
86	1298	7656
87	1311	7631
88	1325	7613
89	1339	7587
90	1352	7563
91	1364	7536
92	1378	7514
93	1391	7490
94	1405	7469
95	1417	7443
96	1431	7420
97	1444	7397
98	1457	7374
99	1469	7348
100	1482	7322
101	1494	7296
102	1509	7281
103	1522	7260
104	1536	7243
105	1549	7222
106	1562	7198
107	1575	7179
108	1588	7155
109	1602	7136
110	1615	7115
111	1627	7089
112	1639	7066
113	1655	7055
114	1668	7038
115	1683	7022
116	1697	7006
117	1711	6991
118	1725	6973
119	1738	6953
120	1751	6933
121	1764	6915
122	1777	6895
123	1790	6873
124	1803	6853
125	1816	6832
126	1828	6811
127	1841	6791
128	1856	6778
129	1869	6760
130	1883	6741
131	1896	6722
132	1908	6701
133	1920	6680
134	1934	6662
135	1946	6642
136	1959	6622
137	1972	6602
138	1985	6583
139	1997	6564
140	2011	6547
141	2025	6532
142	2039	6517
143	2052	6498
144	2064	6479
145	2079	6466
146	2093	6450
147	2106	6433
148	2120	6416
149	2132	6398
150	2146	6382
151	2159	6365
152	2174	6351
153	2187	6334
154	2200	6317
155	2212	6296
156	2224	6277
157	2237	6259
158	2250	6241
159	2263	6225
160	2276	6207
161	2291	6194
162	2304	6179
163	2317	6161
164	2331	6146
165	2344	6128
166	2356	6110
167	2368	6091
168	2381	6073
169	2393	6054
170	2406	6036
171	2419	6019
172	2432	6003
173	2445	5986
174	2457	5969
175	2469	5950
176	2482	5932
177	2495	5916
178	2508	5899
179	2521	5882
180	2534	5867
181	2547	5849
182	2559	5832
183	2571	5814
184	2584	5796
185	2596	5778
186	2609	5762
187	2621	5744
188	2633	5727
189	2646	5711
190	2660	5697
191	2673	5681
192	2687	5668
193	2700	5651
194	2712	5634
195	2725	5618
196	2738	5602
197	2751	5586
198	2762	5567
199	2775	5550
200	2787	5533
201	2800	5517
202	2812	5499
203	2824	5482
204	2836	5465
205	2850	5451
206	2862	5434
207	2874	5417
208	2887	5401
209	2900	5386
210	2913	5370
211	2925	5354
212	2938	5339
213	2959	5338
214	2970	5320
215	2983	5303
216	2995	5287
217	3008	5271
218	3022	5257
219	3035	5242
220	3049	5228
221	3063	5215
222	3075	5199
223	3088	5183
224	3100	5167
225	3113	5152
226	3125	5135
227	3138	5120
228	3151	5106
229	3165	5091
230	3177	5075
231	3189	5059
