iter	Passed	Remaining
0	29	17586
1	56	16947
2	80	16019
3	102	15248
4	124	14874
5	147	14643
6	172	14621
7	196	14548
8	219	14385
9	241	14243
10	266	14243
11	290	14251
12	315	14262
13	341	14303
14	368	14361
15	393	14359
16	419	14369
17	443	14340
18	465	14247
19	488	14169
20	512	14118
21	537	14110
22	559	14026
23	581	13966
24	605	13917
25	627	13843
26	650	13795
27	671	13726
28	696	13705
29	718	13651
30	741	13614
31	765	13584
32	789	13569
33	812	13530
34	835	13489
35	858	13450
36	884	13456
37	910	13467
38	934	13441
39	956	13387
40	978	13341
41	1001	13305
42	1024	13267
43	1046	13220
44	1066	13149
45	1087	13095
46	1107	13034
47	1130	13000
48	1151	12948
49	1173	12907
50	1194	12856
51	1217	12828
52	1241	12816
53	1266	12802
54	1289	12780
55	1313	12759
56	1336	12731
57	1360	12717
58	1386	12713
59	1409	12688
60	1432	12660
61	1456	12635
62	1478	12598
63	1500	12569
64	1524	12549
65	1548	12526
66	1570	12490
67	1590	12446
68	1611	12403
69	1633	12366
70	1655	12336
71	1680	12326
72	1704	12303
73	1727	12281
74	1751	12261
75	1775	12240
76	1796	12199
77	1818	12168
78	1841	12142
79	1862	12105
80	1882	12064
81	1905	12034
82	1928	12012
83	1952	11992
84	1975	11971
85	2001	11961
86	2025	11944
87	2050	11930
88	2075	11917
89	2100	11900
90	2124	11884
91	2149	11870
92	2174	11852
93	2196	11821
94	2216	11784
95	2236	11743
96	2257	11707
97	2279	11675
98	2301	11645
99	2323	11615
100	2345	11588
101	2367	11557
102	2389	11527
103	2409	11493
104	2433	11472
105	2456	11446
106	2480	11427
107	2504	11409
108	2528	11389
109	2551	11366
110	2575	11347
111	2597	11318
112	2618	11285
113	2643	11268
114	2666	11244
115	2688	11218
116	2711	11191
117	2734	11169
118	2758	11150
119	2780	11121
120	2803	11097
121	2828	11081
122	2850	11053
123	2872	11025
124	2895	11003
125	2918	10978
126	2939	10948
127	2962	10922
128	2987	10906
129	3011	10888
130	3035	10866
131	3059	10845
132	3079	10814
133	3101	10786
134	3124	10763
135	3147	10739
136	3171	10716
137	3193	10692
138	3214	10662
139	3235	10629
140	3255	10597
141	3275	10566
142	3299	10543
143	3321	10517
144	3343	10492
145	3367	10471
146	3392	10455
147	3416	10432
148	3440	10413
149	3464	10393
150	3488	10372
151	3512	10351
152	3537	10334
153	3557	10303
154	3579	10275
155	3601	10250
156	3624	10227
157	3649	10208
158	3673	10187
159	3699	10174
160	3721	10148
161	3745	10125
162	3769	10105
163	3792	10083
164	3813	10053
165	3835	10027
166	3859	10006
167	3883	9985
168	3905	9960
169	3926	9932
170	3948	9906
171	3969	9878
172	3993	9855
173	4016	9833
174	4036	9802
